Feature,Average SHAP Value,Contribution (%)
moveTimeMoveSD,0.0023163645413587686,+9.1%
moveTimeMoveMax,0.0016180073002601077,+6.4%
accuracyAvg,0.0015152529650770737,+6.0%
suitErrorPercentage,0.0008520732078879366,+3.3%
accuracySD,0.0006378668724418605,+2.5%
erroneousMovesPercentage,0.0006089237441947792,+2.4%
taps,0.0005917694369157803,+2.3%
betaErrorPercentage,0.00046293045121011963,+1.8%
numberOfCardsMovedAvg,0.00044981026211784824,+1.8%
accuracyMin,0.00020309325155614948,+0.8%
totalTimeMoveMin,0.00018329938996602564,+0.7%
moveTimeMoveMin,0.00017719627364931853,+0.7%
thinkTimeMoveSD,0.00012049874960974854,+0.5%
succesfulMovesPercentage,8.503833303079539e-05,+0.3%
accuracyMax,5.617834389495408e-05,+0.2%
totalMoves,1.0052632135895183e-05,+0.0%
numberOfCardsMovedSD,1.5299650229969562e-06,+0.0%
finalBetaError,0.0,-0.0%
isSolved,0.0,-0.0%
moveTimeMoveAvg,-5.733814027454222e-05,-0.2%
rankErrorPercentage,-0.0002851927296941825,-1.1%
pileMovesPercentage,-0.0006622284836853582,-2.6%
totalTimeMoveMax,-0.0009255400528682681,-3.6%
totalTimeMoveSD,-0.0011122195299932095,-4.4%
totalTimeMoveAvg,-0.001143111775408062,-4.5%
thinkTimeMoveAvg,-0.0013474336095611432,-5.3%
thinkTimeMoveMax,-0.001382319087227109,-5.4%
thinkTimeMoveMin,-0.0021356415930669577,-8.4%
score,-0.0023569353863222525,-9.3%
gameTime,-0.004158195437006531,-16.3%
